from,to
lincIRX5,TFAP2A-AS1
lincIRX5,MRC2
lincIRX5,AGPAT1
lincIRX5,PPID
lincIRX5,HSP90AA1
lincIRX5,ITGB5
lincIRX5,KIT
lincIRX5,RARS
lincIRX5,SDC1
lincIRX5,CXCL14
lincIRX5,TMEM94
lincIRX5,HSPH1
lincIRX5,USP20
lincIRX5,PSME4
lincIRX5,ORC3
lincIRX5,GABARAPL1
lincIRX5,BRMS1
lincIRX5,HECA
lincIRX5,HAUS6
lincIRX5,NCEH1
lincIRX5,ARHGEF28
lincIRX5,NAA50
lincIRX5,C19orf54
lincIRX5,KY
lincIRX5,PSMB6
lincIRX5,NMT1
lincIRX5,MRPL15
lincIRX5,ZNF720
lincIRX5,PARP1
lincIRX5,MUC1
lincIRX5,PPARG
lincIRX5,RGL2
lincIRX5,DGKD
lincIRX5,CH25H
lincIRX5,C2CD5
lincIRX5,GNE
lincIRX5,KDM5B
lincIRX5,UTP18
lincIRX5,AZIN1
lincIRX5,ZSCAN2
lincIRX5,SDAD1
lincIRX5,PI4K2A
lincIRX5,UBA5
lincIRX5,RSPH9
lincIRX5,SH3PXD2B
lincIRX5,C11orf96
lincIRX5,TMEM200B
lincIRX5,NENF
lincIRX5,COA1
lincIRX5,GALNT18
lincIRX5,SHMT1
lincIRX5,ING4
lincIRX5,DHX9
lincIRX5,CTSH
lincIRX5,ZNF581
lincIRX5,RYK
lincIRX5,MAP1LC3A
lincIRX5,AMFR
lincIRX5,SMG6
lincIRX5,AHRR
lincIRX5,GRAMD1A
LincK,PBK
LincK,MCM7
LincK,WDR76
LincK,TRIP13
LincK,H2BC10
LincK,TICRR
LincK,PCSK2
LincK,SPC24
LincK,UBE2T
LincK,ASF1B
LincK,H2AC4
LincK,PLK1
LincK,ZNF616
LincK,H3C7
LincK,DTL
LincK,GINS2
LincK,EPHA7
LincK,PGM2L1
LincK,H3C15
LincK,PRIM1
LincK,ESCO2
LincK,MELK
LincK,ORC6
LincK,CDK4
LincK,TK1
LincK,ESPL1
LincK,DIO2
LincK,MIR3143
LincK,KIF24
LincK,CDT1
LincK,FOXM1
LincK,FANCI
LincK,PSMC3IP
LincK,POLA2
LincK,H1-3
LincK,AURKB
LincK,MCM2
LincK,CENPW
LincK,H3C8
LincK,PRC1
LincK,H4C3
LincK,H1-5
LincK,FANCD2
LincK,FZD8
LincK,UBE2C
LincK,E2F8
LincK,TYMS
LincK,GINS3
LincK,NUF2
LincK,MCM10
LincK,GINS1
LincK,KIF2C
LincK,MYBL2
LincK,HEY2
LincK,SPAG5
LincK,CDCA7
LincK,BCAS1
LincK,H2AC13
LincK,MCM5
lincMTX2,ANXA10
lincMTX2,NDRG1
lincMTX2,GAS2L3
lincMTX2,MANSC1
lincMTX2,PMEPA1
lincMTX2,SGPP1
lincMTX2,FAM162A
lincMTX2,ENO2
lincMTX2,PEG10
lincMTX2,MAMDC2
lincMTX2,SOX4
lincMTX2,SPAG4
lincMTX2,LDB1
lincMTX2,AK4
lincMTX2,BNIP3
lincMTX2,ALDH1A1
lincMTX2,CA9
lincMTX2,INSYN1
lincMTX2,SLC6A8
lincMTX2,MPHOSPH9
lincMTX2,ANGPTL4
lincMTX2,MMP10
lincMTX2,CCL5
lincMTX2,PDP1
lincMTX2,ZNF395
lincMTX2,THAP10
lincMTX2,MEX3D
lincMTX2,ARSK
lincMTX2,COL5A1
lincMTX2,TXNIP
lincMTX2,KDM3A
lincMTX2,VEPH1
lincMTX2,LINC02381
lincMTX2,USP46
lincMTX2,CYB5A
lincMTX2,SLIT2
lincMTX2,MAP1LC3A
lincMTX2,CCNYL1
lincMTX2,BAX
lincMTX2,GAA
lincMTX2,PDGFA
lincMTX2,PTPN14
lincMTX2,ASAP2
lincMTX2,MAFB
lincMTX2,LSM4
lincMTX2,WDYHV1
lincMTX2,VASN
lincMTX2,MIR210HG
lincMTX2,LOC100507547
lincMTX2,SHANK3
lincMTX2,IRAK1
lincMTX2,DNAL4
lincMTX2,DDR1
lincMTX2,FBLN2
lincMTX2,VAMP3
lincMTX2,DPYSL4
lincMTX2,ARNTL2
lincMTX2,NCEH1
lincMTX2,LINC01963
lincMTX2,ZNF627
lincMTX2,AEBP1
lincMTX2,ARF4
lincMTX2,ISLR
lincMTX2,KIF2A
lincMTX2,MAN2A1
lincMTX2,NEFM
lincMTX2,NRAS
lincMTX2,NUP98
lincMTX2,OXCT1
lincMTX2,PLOD1
lincMTX2,SLIT3
lincMTX2,TFRC
lincMTX2,ZBTB25
lincMTX2,DEK
lincMTX2,NME5
lincMTX2,ULK1
lincMTX2,KIF14
lincMTX2,TROAP
lincMTX2,SMC4
lincMTX2,DNM1L
lincMTX2,CBX7
lincMTX2,HILPDA
lincMTX2,CERCAM
lincMTX2,TMX3
lincMTX2,LPCAT2
lincMTX2,MCUB
lincMTX2,PI4K2B
lincMTX2,KNL1
lincMTX2,INIP
lincMTX2,DCAKD
lincMTX2,NAA50
lincMTX2,TTYH3
lincMTX2,GUCD1
lincMTX2,ERI1
lincMTX2,ASPHD1
lincMTX2,CASTOR1
lincMTX2,SLC9A3-AS1
lincMTX2,HHEX
lincMTX2,AKAP12
lincMTX2,ST3GAL1
lincMTX2,PTK7
lincMTX2,AMFR
lincMTX2,LAMB2
lincMTX2,TMEM19
lincMTX2,LRRC8E
lincMTX2,SLF1
lincMTX2,TMEM132A
lincMTX2,RETREG3
lincMTX2,NEFL
lincMTX2,HIST1H1C
lincMTX2,FKBP14
lincMTX2,POLA1
lincMTX2,FGF14
lincMTX2,HIST1H2AE
lincMTX2,HNRNPA1
lincMTX2,LIMK1
lincMTX2,LRP4
lincMTX2,ME2
lincMTX2,KITLG
lincMTX2,NEK2
lincMTX2,NMB
lincMTX2,P4HA1
lincMTX2,PENK
lincMTX2,RARRES2
lincMTX2,SFPQ
lincMTX2,TACC1
lincMTX2,TNS1
lincMTX2,USP9Y
lincMTX2,PSMG1
lincMTX2,NAPG
lincMTX2,PRPF4B
lincMTX2,DGKI
lincMTX2,CRLF1
lincMTX2,SLC4A7
lincMTX2,DEPP1
lincMTX2,SCMH1
lincMTX2,NEMP1
lincMTX2,CBX5
lincMTX2,PLA2G15
lincMTX2,OSBPL3
lincMTX2,GAL
lincMTX2,TAF9B
lincMTX2,CENPN
lincMTX2,EIF5A2
lincMTX2,ZBTB2
lincMTX2,RNF128
lincMTX2,TCTN1
lincMTX2,SUV39H2
lincMTX2,TSEN2
lincMTX2,ANP32E
lincMTX2,CNFN
lincMTX2,MFSD14B
lincMTX2,RCCD1
lincMTX2,ZNF300
lincMTX2,TMEM129
lincMTX2,ADSSL1
lincMTX2,UBLCP1
lincMTX2,EME1
lincMTX2,LCLAT1
lincMTX2,NPHP4
lincMTX2,C5orf34
lincMTX2,TMEM189
lincMTX2,GPX8
lincMTX2,C8orf88
lincMTX2,LINC00973
lincMTX2,ARHGAP29
lincMTX2,HTRA1
lincMTX2,ACER3
lincMTX2,EIF4G2
lincMTX2,GSR
lincMTX2,CFH
lincMTX2,IGFBP3
lincMTX2,STMN1
lincMTX2,PLOD2
lincMTX2,SRD5A1
lincMTX2,TBX3
lincMTX2,TGFBI
lincMTX2,MTMR2
lincMTX2,ERLIN1
lincMTX2,NCAPH
lincMTX2,SLC44A1
lincMTX2,INTS7
lincMTX2,ALKBH5
lincMTX2,RPAP3
lincMTX2,FAM214B
lincMTX2,CDT1
lincMTX2,TRPT1
lincMTX2,FAM129A
lincMTX2,SCLT1
lincMTX2,KDELC2
lincMTX2,LINC01116
lincMTX2,TSPAN11
lincMTX2,USP10
lincMTX2,GART
lincMTX2,RALGDS
lincMTX2,PLIN2
lincMTX2,CTF1
lincMTX2,HTR2B
lincMTX2,JARID2
lincMTX2,PIGC
lincMTX2,SYNGR1
lincMTX2,NSMCE4A
lincMTX2,CHST12
lincMTX2,RAB20
lincMTX2,SLC25A40
lincMTX2,MARK4
lincMTX2,CHID1
lincMTX2,CENPU
lincMTX2,BMF
lincMTX2,SLC25A46
lincMTX2,ATXN7L3B
lincMTX2,ADSL
lincMTX2,GPSM2
lincMTX2,MFN1
lincMTX2,SMAGP
lincMTX2,FAM171B
lincMTX2,LYPD3
lincMTX2,A1BG
lincMTX2,TPP1
lincMTX2,HSPB2
lincMTX2,IL12A
lincMTX2,SKP2
lincMTX2,SNRPA
lincMTX2,ADGRG1
lincMTX2,ANKFY1
lincMTX2,RRAGC
lincMTX2,PLPPR2
lincMTX2,ZNF610
lincMTX2,METRNL
lincMTX2,TMEM91
lincMTX2,SLC39A10
lincMTX2,DACT3
lincMTX2,CDK6
lincMTX2,FBRSL1
lincMTX2,CERS5
lincMTX2,ESCO2
lincMTX2,MMP12
lincMTX2,MAP2K6
lincMTX2,NSMF
lincMTX2,HAUS2
lincMTX2,CTTN
lincMTX2,ATP8B2
lincMTX2,LOC100505501
lincMTX2,PXK
lincMTX2,LMBR1L
lincMTX2,LBR
lincMTX2,ATP8B1
lincMTX2,PHF1
lincMTX2,PTK2
lincMTX2,TWIST1
lincMTX2,STK19
lincMTX2,SLC16A5
lincMTX2,CADM1
lincMTX2,NEIL2
lincMTX2,RRAGD
lincMTX2,TNPO1
lincMTX2,SYNPO
lincMTX2,RIN3
lincMTX2,PAQR7
lincMTX2,RB1
lincMTX2,DDAH1
lincMTX2,SFXN1
lincMTX2,SERPING1
lincMTX2,CST3
lincMTX2,DBP
lincMTX2,PLK4
lincMTX2,NLGN1
lincMTX2,CDCA7L
lincMTX2,GNPTG
lincMTX2,TMEM161B-AS1
lincMTX2,SLC35G2
lincMTX2,SLC6A6
lincMTX2,P4HA3
lincMTX2,FOXM1
lincMTX2,PTGIS
lincMTX2,PLEKHA4
lincMTX2,SPRY2
lincMTX2,TLR4
lincMTX2,DPP7
lincMTX2,XYLT2
lincMTX2,CMTM3
lincMTX2,ARHGDIB
lincMTX2,PYGB
lincMTX2,IL33
lincMTX2,GSEC
lincMTX2,MDK
lincMTX2,MBD4
lincMTX2,NOL3
lincMTX2,SEPHS1
lincMTX2,NKIRAS2
lincMTX2,TMEM30A
lincMTX2,DEPTOR
lincMTX2,NDRG4
lincMTX2,INAFM1
lincMTX2,ZFAS1
lincMTX2,SERPINI1
lincMTX2,SFRP4
lincMTX2,IL13RA2
lincMTX2,ZNF720
lincMTX2,HSD11B1L
lincMTX2,APC
lincMTX2,CENPE
lincMTX2,BRINP1
lincMTX2,DPT
lincMTX2,CENPI
lincMTX2,HK2
lincMTX2,MXI1
lincMTX2,NSD2
lincMTX2,MED21
lincMTX2,G3BP2
lincMTX2,TNFRSF21
lincMTX2,PTOV1
lincMTX2,HAUS6
lincMTX2,WBP1L
lincMTX2,PARPBP
lincMTX2,CHST7
lincMTX2,ST6GALNAC5
lincMTX2,MCM8
lincMTX2,CCDC102A
lincMTX2,C7orf13
lincMTX2,WDR36
lincMTX2,SHISA4
lincMTX2,PTAR1
lincMTX2,TMEM35B
lincMTX2,ATR
lincMTX2,CPE
lincMTX2,LRRC32
lincMTX2,PFKL
lincMTX2,RBBP7
lincMTX2,NCAPD2
lincMTX2,POLQ
lincMTX2,ATG2A
lincMTX2,SYT11
lincMTX2,COQ2
lincMTX2,LINC00339
lincMTX2,PARP6
lincMTX2,FAM217B
lincMTX2,TMEM263
lincMTX2,SLC16A3
lincMTX2,PARP16
lincMTX2,DNAJB14
lincMTX2,STARD10
lincMTX2,NNT
lincMTX2,B3GALNT1
lincMTX2,MTFR1
lincMTX2,GALC
lincMTX2,SGPL1
lincMTX2,ZNF766
lincMTX2,SEMA4B
lincMTX2,NCAPG2
lincMTX2,BUB1
lincMTX2,EXO1
lincMTX2,TM2D2
lincMTX2,C3orf38
lincMTX2,PDK4
lincMTX2,NEMF
lincMTX2,GINS1
lincMTX2,PSIP1
lincMTX2,CDKN1C
lincMTX2,GSTA4
lincMTX2,IPO5
lincMTX2,SFRP1
lincMTX2,GJC1
lincMTX2,STXBP5
lincMTX2,C4orf46
lincMTX2,SVIP
lincMTX2,SLC25A45
lincMTX2,DNMT1
lincMTX2,MMP14
lincMTX2,EIF3J
lincMTX2,PDE4DIP
lincMTX2,ZBTB47
lincMTX2,LINC00520
lincMTX2,PPA1
lincMTX2,SCO1
lincMTX2,MROH6
lincMTX2,NOP2
lincMTX2,DDIAS
lincMTX2,CENPH
lincMTX2,SSR4
lincMTX2,ACSL3
lincMTX2,FAR2
lincMTX2,ALDOC
lincMTX2,BEX1
lincMTX2,ECHDC1
lincMTX2,GINS4
lincMTX2,PLSCR4
lincMTX2,CFI
lincMTX2,CHPF
lincMTX2,ADGRB2
lincMTX2,BRCA1
lincMTX2,CDKN2C
lincMTX2,ECT2
lincMTX2,F2RL1
lincMTX2,GBP1
lincMTX2,HIST1H2BD
lincMTX2,KIF5B
lincMTX2,LCP1
lincMTX2,TNFAIP1
lincMTX2,SMC1A
lincMTX2,SNHG3
lincMTX2,TBX18
lincMTX2,KIF20B
lincMTX2,IKBKE
lincMTX2,TOX
lincMTX2,SUSD6
lincMTX2,MAP4K5
lincMTX2,DAAM1
lincMTX2,CHIC2
lincMTX2,NT5C3A
lincMTX2,STK26
lincMTX2,ZSCAN2
lincMTX2,CIP2A
lincMTX2,CCDC15
lincMTX2,LRR1
lincMTX2,SELENOM
lincMTX2,STK35
lincMTX2,CEP128
lincMTX2,MSRB3
lincMTX2,NECAB3
lincMTX2,ITGA4
lincMTX2,TYMS
lincMTX2,TPBG
lincMTX2,NCK2
lincMTX2,KDM4B
lincMTX2,WIPI2
lincMTX2,INSIG2
lincMTX2,VPS37B
lincMTX2,KIF18A
lincMTX2,LOC100270804
lincMTX2,PCAT6
lincMTX2,GALNT11
lincMTX2,HSP90B1
lincMTX2,HOXA10
lincMTX2,PCDHB16
lincMTX2,LRRCC1
lincMTX2,CHAMP1
lincMTX2,ERAP1
lincMTX2,HASPIN
lincMTX2,CHST14
lincMTX2,PRAC2
lincMTX2,FKBP3
lincMTX2,PPFIA4
lincMTX2,EML2
lincMTX2,PLPBP
lincMTX2,ZFPM2
lincMTX2,GAS7
lincMTX2,NARF
lincMTX2,YPEL3
lincMTX2,SBSPON
lincMTX2,SKA3
lincMTX2,MTFR2
lincMTX2,PGK1
lincMTX2,LRP12
lincMTX2,ZMIZ1-AS1
lincMTX2,FBN2
lincMTX2,FER
lincMTX2,PA2G4
lincMTX2,EFS
lincMTX2,LIN7B
lincMTX2,SMYD4
lincMTX2,TMEM200B
lincMTX2,PPM1M
lincMTX2,ZP1
lincMTX2,PAK1IP1
lincMTX2,KIRREL1
lincMTX2,CXorf38
lincMTX2,PKD2
lincMTX2,VBP1
lincMTX2,SLC2A3
lincMTX2,DPH5
lincMTX2,SEMA4C
lincMTX2,POLR3B
lincMTX2,AGRN
lincMTX2,IDUA
lincMTX2,C3AR1
lincMTX2,MT3
lincMTX2,TAPBP
lincMTX2,PLCG1
lincMTX2,TK2
lincMTX2,USP1
lincMTX2,PIK3CD
lincMTX2,VASH1
lincMTX2,FAM234A
lincMTX2,HIST2H2BE
lincMTX2,MAGEE1
lincMTX2,TP53INP2
lincMTX2,ASMTL
lincMTX2,RETREG2
lincMTX2,NCBP2-AS2
lincMTX2,NUP35
lincMTX2,FMOD
lincMTX2,MKI67
lincMTX2,MOCS2
lincMTX2,MTM1
lincMTX2,RGL2
lincMTX2,CNOT7
lincMTX2,FABP4
lincMTX2,C6orf120
lincMTX2,KIF18B
lincMTX2,CKS2
lincMTX2,TSPYL5
lincMTX2,CNKSR3
lincMTX2,KCTD11
lincMTX2,TPST1
lincMTX2,DBF4
lincMTX2,PTPRU
lincMTX2,CDC42EP3
lincMTX2,CSDC2
lincMTX2,CHMP4A
lincMTX2,WDR60
lincMTX2,FAIM
lincMTX2,OCEL1
lincMTX2,C6orf62
lincMTX2,CENPL
lincMTX2,LRRC59
lincMTX2,PCLAF
lincMTX2,MZT1
lincMTX2,NISCH
lincMTX2,COL18A1
lincMTX2,CA12
lincMTX2,ADPRM
lincMTX2,SCARB1
lincMTX2,RHBDL1
lincMTX2,TBXA2R
lincMTX2,YWHAE
lincMTX2,ZNF667-AS1
lincMTX2,ETS2
lincMTX2,ABTB1
lincMTX2,ABCB4
lincMTX2,TIGD7
lincMTX2,EXOC5
lincMTX2,MLH1
lincMTX2,CDR2L
lincMTX2,MXD4
lincMTX2,SRBD1
lincMTX2,TMEM206
lincMTX2,CALCOCO1
lincMTX2,COL7A1
lincMTX2,SUCLA2
lincMTX2,LIMA1
lincMTX2,RBM28
lincMTX2,RFK
lincMTX2,TMEM198B
lincMTX2,GID8
lincMTX2,PTPRS
lincMTX2,SLC12A7
lincMTX2,CKAP2
lincMTX2,GPRC5C
lincMTX2,MAGT1
lincMTX2,SLC38A11
lincMTX2,ASPM
lincMTX2,DGCR2
lincMTX2,LDLRAP1
lincMTX2,RAB11B-AS1
lincMTX2,KIAA0586
lincMTX2,CPSF4
lincMTX2,FANCD2
lincMTX2,RNF121
lincMTX2,TSN
lincMTX2,SRRT
lincMTX2,PLS3
lincMTX2,FNIP2
lincMTX2,SLC25A32
lincMTX2,LINC00847
lincMTX2,RBM34
lincMTX2,LRRC8C
lincMTX2,SERINC5
lincMTX2,SKA2
lincMTX2,ATAD2
lincMTX2,KIF20A
lincMTX2,RMDN1
lincMTX2,NXPE3
lincMTX2,ADA
lincMTX2,NTNG2
lincMTX2,NAA15
lincMTX2,CYHR1
lincMTX2,ADCY6
lincMTX2,DUSP4
lincMTX2,HIST1H3D
lincMTX2,OPN3
lincMTX2,MYOF
lincMTX2,PLEKHB2
lincMTX2,HDAC11
lincMTX2,SDC1
lincMTX2,APOBEC3B
lincMTX2,PPIH
lincMTX2,PGPEP1
lincMTX2,G2E3
lincMTX2,OSBPL5
lincMTX2,SNX33
lincMTX2,PIGT
lincMTX2,PELI3
lincMTX2,PRR14L
lincMTX2,FNDC4
lincMTX2,MSH2
lincMTX2,TMEM45A
lincMTX2,NUF2
lincMTX2,TAF15
lincMTX2,ARHGAP12
lincMTX2,GGACT
lincMTX2,TXNRD1
lincMTX2,TPRA1
lincMTX2,MAMSTR
lincMTX2,C12orf76
lincMTX2,KCNK2
lincMTX2,KLF7
lincMTX2,REXO5
lincMTX2,IGSF8
lincMTX2,CCDC189
lincMTX2,TRIM59
lincMTX2,FAM228B
lincMTX2,LTBP3
lincMTX2,TSHZ1
lincMTX2,RBM15B
lincMTX2,IPO11
lincMTX2,NEURL1B
lincMTX2,CTDSP1
lincMTX2,MAGEF1
lincMTX2,CCT6A
lincMTX2,DHRS4-AS1
lincMTX2,CENPF
lincMTX2,GTSE1
lincMTX2,SLC29A3
lincMTX2,DEPDC1
lincMTX2,FKBP10
lincMTX2,ZNF503
lincMTX2,DHX57
lincMTX2,SEC14L4
lincMTX2,DCP1B
lincMTX2,LRP3
lincMTX2,SAT1
lincMTX2,SATB2
lincMTX2,WBP2
lincMTX2,WBP11
lincMTX2,ERBIN
lincMTX2,GGCT
lincMTX2,LINC01137
lincMTX2,MYO5A
lincMTX2,ATF6
lincMTX2,TFAP2A-AS1
lincMTX2,LRMDA
lincMTX2,ITGB5
lincMTX2,LNPEP
lincMTX2,PTX3
lincMTX2,ERCC6L
lincMTX2,DCAF17
lincMTX2,RHNO1
lincMTX2,SH3PXD2B
lincMTX2,ATP5F1C
lincMTX2,KLF5
lincMTX2,TMSB15A
lincMTX2,CALHM2
lincMTX2,ARHGEF40
lincMTX2,RPL22L1
lincMTX2,LRRC6
lincMTX2,C1orf112
lincMTX2,PPP4R3B
lincMTX2,MASTL
lincMTX2,MVP
lincMTX2,CRNKL1
lincMTX2,KIAA2013
lincMTX2,NEAT1
lincMTX2,TGFB1
lincMTX2,GCA
lincMTX2,APOBEC3C
lincMTX2,SPACA9
lincMTX2,FLJ20021
lincMTX2,ZNF510
lincMTX2,BET1L
lincMTX2,FNBP1L
lincMTX2,KNSTRN
lincMTX2,MAD1L1
lincMTX2,PDE4C
lincMTX2,INTS5
lincMTX2,DNMT3A
lincMTX2,B4GALT1
lincMTX2,DDX39A
lincMTX2,WDHD1
lincMTX2,RNF130
lincMTX2,QTRT2
lincMTX2,TM2D3
lincMTX2,DCAF13
lincMTX2,SIRT7
lincMTX2,TMEM127
lincMTX2,DIAPH3
lincMTX2,C19orf48
lincMTX2,CHUK
lincMTX2,TCP1
lincMTX2,UBAP2L
lincMTX2,TCTN2
lincMTX2,ZNF524
lincMTX2,ZNF558
lincMTX2,NCAPD3
lincMTX2,FANCI
lincMTX2,PLP2
lincMTX2,CAP1
lincMTX2,CEP89
lincMTX2,PRDM1
lincMTX2,NPR2
lincNORS,GAN
lincNORS,AREG
lincNORS,SLC6A14
lincNORS,THSD4
lincNORS,ALCAM
lincNORS,IGFBP5
lincNORS,ACTB
lincNORS,AHNAK
lincNORS,PSMB6
lincNORS,NECAB1
lincNORS,SLC25A24
lincNORS,NBPF6
lincNORS,LINC00710
lincNORS,CERS2
lincNORS,CCNG1
lincNORS,LIN7A
lincNORS,CDV3
lincNORS,DKK1
lincNORS,HSP90AA1
lincNORS,SLC6A6
lincNORS,TBC1D9
lincNORS,PXDN
lincNORS,SLC39A6
lincNORS,SYTL2
lincNORS,IGFBP5
lincNORS,HIPK1
lincNORS,BCAS1
lincNORS,HMGCS1
lincNORS,MCL1
lincNORS,ABCA12
lincNORS,MBTPS1
lincNORS,ACTN1
lincNORS,HMGCR
lincNORS,TSKU
lincNORS,ZFHX3
lincNORS,STMN3
lincNORS,RRM2
lincNORS,MXI1
lincNORS,PVT1
lincNORS,TGFBI
lincNORS,BOD1
lincNORS,ARL1
lincNORS,TXNRD1
lincNORS,ST3GAL1
lincNORS,ARPC5
lincNORS,HADHA
lincNORS,SLC25A24
lincNORS,SQLE
lincNORS,SLC12A2
lincNORS,NFKBIA
lincNORS,RHOA
lincNORS,ELF3
lincNORS,XBP1
lincNORS,RAI14
lincNORS,SLC39A9
lincNORS,CKAP4
lincNORS,ACSL1
lincNORS,IGFBP3
lincNORS,MSMO1
lincNORS,KLF7
lincNORS,IGFBP4
lincNORS,RNF11
lincNORS,OSTF1
lincNORS,MBNL1
lincNORS,IDI1
lincNORS,IGLV2-28
lincNORS,DHX40
lincNORS,ESYT2
lincNORS,MCCC2
lincNORS,SMARCD2
lincNORS,STARD3NL
lincNORS,FLNA
lincNORS,ERBB4
lincNORS,MYC
lincNORS,MTSS1
lincNORS,BCL2L11
lincNORS,ABLIM3
lincNORS,ANXA1
lincNORS,SESN1
lincNORS,COL5A2
lincNORS,NEAT1
lincNORS,TMPRSS2
lincNORS,MLEC
lincNORS,PTPMT1
lincNORS,TRIM16
lincNORS,P4HA2
lincNORS,BRI3BP
lincNORS,ADAMTS19
lincNORS,AKR1C2
lincNORS,TC2N
lincNORS,MCM6
lincNORS,VCL
lincNORS,IGLV3-27
lincNORS,STARD4
lincNORS,LGALS3
lincNORS,SCD
lincNORS,MEST
lincNORS,CABLES1
lincNORS,TLE4
lincNORS,PREPL
lincNORS,ZHX2
lincNORS,ACSL3
lincNORS,TRIM16L
lincNORS,KLF4
lincNORS,IFI16
lincNORS,ARRB1
lincNORS,FAM169A
lincNORS,STMN1
lincNORS,MET
lincNORS,TSPY2
lincNORS,SESN3
lincNORS,ALKBH5
lincNORS,PDIA4
lincNORS,ARRDC3
lincNORS,AK4
lincNORS,COX6C
lincNORS,ZNF12
lincNORS,TIE1
lincNORS,ABCC5
lincNORS,LDOC1
lincNORS,ITGA2
lincNORS,KLF9
lincNORS,NGRN
lincNORS,BMP4
lincNORS,TUSC3
lincNORS,SEMA3C
lincNORS,PLXDC2
lincNORS,STK3
lincNORS,BAMBI
lincNORS,PTPRK
lincNORS,TNFRSF11B
lincSTXBP5,KCNK2
lincSTXBP5,PPP5C
lincSTXBP5,USP9Y
lincSTXBP5,ANXA10
lincSTXBP5,KIF1BP
lincSTXBP5,DACT1
lincSTXBP5,MCFD2
lincSTXBP5,FAM122B
lincSTXBP5,BNIP3
lincSTXBP5,DENR
lincSTXBP5,PLIN2
lincSTXBP5,DDR1
lincSTXBP5,EFNA3
lincSTXBP5,RECQL
lincSTXBP5,LDB1
lincSTXBP5,EFCAB14
lincSTXBP5,GAL
lincSTXBP5,SLC6A8
lincSTXBP5,RNGTT
lincSTXBP5,BEX1
lincSTXBP5,ZNF395
lincSTXBP5,SOX4
lincSTXBP5,ADA
lincSTXBP5,AEBP1
lincSTXBP5,AK4
lincSTXBP5,ALDH1A1
lincSTXBP5,BAX
lincSTXBP5,CRK
lincSTXBP5,SLC26A2
lincSTXBP5,ENO2
lincSTXBP5,FBLN2
lincSTXBP5,GATA6
lincSTXBP5,MMP12
lincSTXBP5,NEFM
lincSTXBP5,PHKB
lincSTXBP5,CCL5
lincSTXBP5,SFRP4
lincSTXBP5,SRD5A1
lincSTXBP5,ELOVL4
lincSTXBP5,EIF3J
lincSTXBP5,TBX18
lincSTXBP5,MTMR4
lincSTXBP5,AIFM1
lincSTXBP5,PHACTR2
lincSTXBP5,AREL1
lincSTXBP5,MAFB
lincSTXBP5,SAE1
lincSTXBP5,ACTR2
lincSTXBP5,NDRG1
lincSTXBP5,CDC42EP3
lincSTXBP5,PHTF1
lincSTXBP5,ZNF274
lincSTXBP5,STK38
lincSTXBP5,FASTKD2
lincSTXBP5,NLGN1
lincSTXBP5,PEG10
lincSTXBP5,BACE2
lincSTXBP5,OSBPL3
lincSTXBP5,FAM162A
lincSTXBP5,LRP12
lincSTXBP5,ANGPTL4
lincSTXBP5,ZDHHC2
lincSTXBP5,TAF9B
lincSTXBP5,TMX3
lincSTXBP5,PDP1
lincSTXBP5,PXK
lincSTXBP5,PCDHB16
lincSTXBP5,TOR3A
lincSTXBP5,SUSD1
lincSTXBP5,RPAP3
lincSTXBP5,DCAKD
lincSTXBP5,DNAJB14
lincSTXBP5,RPPH1
lincSTXBP5,SYAP1
lincSTXBP5,SFXN1
lincSTXBP5,ADSSL1
lincSTXBP5,ZNF720
lincSTXBP5,UHMK1
lincSTXBP5,PPP1R36
lincSTXBP5,ARSK
lincSTXBP5,SBSPON
lincSTXBP5,ZFAS1
lincSTXBP5,LINC00847
lincSTXBP5,MIR210HG
lincSTXBP5,PCAT6
lincSTXBP5,DEPP1
lincSTXBP5,PTPRS
lincSTXBP5,UBE2L3
lincSTXBP5,EFS
lincSTXBP5,ZNF318
lincSTXBP5,ABT1
lincSTXBP5,ATXN10
lincSTXBP5,TSPAN11
lincSTXBP5,IDE
lincSTXBP5,CDC27
lincSTXBP5,MOCS2
lincSTXBP5,FANK1
lincSTXBP5,FAM129A
lincSTXBP5,CTNNB1
lincSTXBP5,MCHR1
lincSTXBP5,ISLR
lincSTXBP5,KIF2A
lincSTXBP5,TNPO1
lincSTXBP5,LTBP3
lincSTXBP5,KITLG
lincSTXBP5,NEFL
lincSTXBP5,PDGFA
lincSTXBP5,PSMD2
lincSTXBP5,RARRES2
lincSTXBP5,SFPQ
lincSTXBP5,SPAG4
lincSTXBP5,TNFSF4
lincSTXBP5,UBP1
lincSTXBP5,PRPF3
lincSTXBP5,ADGRG1
lincSTXBP5,NUP58
lincSTXBP5,PTGES3
lincSTXBP5,CBX5
lincSTXBP5,HILPDA
lincSTXBP5,CRNKL1
lincSTXBP5,ZNF581
lincSTXBP5,TENT5C
lincSTXBP5,PLEKHB2
lincSTXBP5,KDM3A
lincSTXBP5,PMEPA1
lincSTXBP5,TCTN1
lincSTXBP5,DCAF17
lincSTXBP5,NTNG2
lincSTXBP5,PPIL4
lincSTXBP5,NXPE3
lincSTXBP5,TMEM91
lincSTXBP5,FBN2
lincSTXBP5,HSPA4
lincSTXBP5,RNH1
lincSTXBP5,KLF7
lincSTXBP5,CLOCK
lincSTXBP5,IPO8
lincSTXBP5,FAM107A
lincSTXBP5,CADM1
lincSTXBP5,HAUS6
