from,to
AC007128.1,HNRNPM
AC007128.1,ARPIN
AC007128.1,RHBG
AC007128.1,GOLIM4
AC007128.1,EDEM2
AC007128.1,HMGCR
AC007128.1,SNORD11B
AC007128.1,HERC5
AC007128.1,ARG2
AC007128.1,PSMC6
AC007128.1,TMEM237
AC007128.1,CROT
AC007128.1,FASN
AC007128.1,PCBP3
AC007128.1,MLXIP
AC007128.1,NEMP1
AC007128.1,SMARCC1
AC007128.1,NOTCH2
AC007128.1,MTHFR
AC007128.1,ZNF326
AC007128.1,ZNF488
AC007128.1,ZC2HC1C
AC007128.1,AVPI1
AC007128.1,H2AZ1
AC007128.1,CDK14
AC007128.1,NDUFAF3
AC007128.1,HDAC1
AC007128.1,INPP5A
AC007128.1,MAP3K10
AC007128.1,PGM2L1
AC007128.1,GTSE1
AC007128.1,URGCP
AC007128.1,SOGA1
AC007128.1,WDR77
AC007128.1,MANCR
AC007128.1,HIBADH
AC007128.1,TBC1D2
AC007128.1,SIGMAR1
AC007128.1,C5orf15
AC007128.1,RPL28
AC007128.1,NBR2
AC007128.1,ZNF777
AC007128.1,PTPDC1
AC007128.1,MYBL1
AC007128.1,SORBS3
AC007128.1,AREG
AF339830,DUTP7
AF339830,LRRC36
AF339830,MIR202HG
AF339830,MIR649
AF339830,SLC25A6P4
AF339830,SLC9A3P3
AF339830,WBP2NL
AF339830,UQCRFS1
AF339830,PPT1
AF339830,UBFD1
AF339830,LAPTM4B
AF339830,APOH
AF339830,MPTX1
AF339830,ASXL2
AF339830,DSG2
AF339830,SLC7A7
AF339830,PTDSS1
AF339830,BUB3
AF339830,TBC1D1
AF339830,KRT8P32
AF339830,B4GALT5
AF339830,ID2
AF339830,LPCAT1
AF339830,TAF11
AF339830,FKBP1A
AF339830,MYH10
AF339830,PRSS23
AF339830,PRDX3
AF339830,TGFBR2
AF339830,GANAB
AF339830,CMA1
AF339830,PTGER3
AF339830,CASP7
AF339830,NPTN
AF339830,SPRY2
AF339830,BCL7A
AF339830,PRPS2
AF339830,TBC1D10C
AF339830,NR1H2
AF339830,GDF11
AF339830,ZSWIM5
AF339830,PRDX4
AF339830,ARHGAP31
AF339830,MRPL44
AF339830,EPDR1
AF339830,TES
AF339830,PCYT1A
AF339830,PYGL
AF339830,ALG1
AF339830,MLEC
AF339830,HIBADH
AF339830,CTCF
AF339830,GNPDA1
AF339830,DDB1
AF339830,WBP11
AF339830,CSTF2
AF339830,RBFOX2
AF339830,MIR4685
AF339830,CCDC28A
AF339830,CKS1B
AF339830,C4BPB
AF339830,TJP1
AF339830,FARP1
AF339830,FN3KRP
AF339830,YKT6
AF339830,EIF2S3
AF339830,ARID5B
AF339830,STX3
AF339830,SMYD2
AF339830,DMRT2
AF339830,DENND5A
AF339830,ZMYND8
AF339830,NKD1
AF339830,ZNF32-AS3
AF339830,TCTEX1D4
AF339830,MAP6D1
AF339830,MRS2
AF339830,MTX2
AF339830,CYBRD1
AF339830,STAMBPL1
AF339830,CMBL
AF339830,AMFR
AF339830,ATPAF1
AF339830,TAF5L
AF339830,CA12
AF339830,PCID2
AF339830,SRP68
AF339830,PTPN9
AF339830,CLDN2
AF339830,GLUD1
AF339830,ADIPOR1
AF339830,TSHZ1
AF339830,HMBS
AF339830,CA2
AF339830,ARFGEF2
AF339830,ADCY9
AF339830,MTMR4
AF339830,DYRK2
AF339830,NOLC1
AF339830,TPM4
AF339830,JAG1
AF339830,LDLRAP1
AF339830,POLR3A
AF339830,SPG21
AF339830,TOMM34
AF339830,TRIM16L
AF339830,PFDN6
AF339830,KPNA2
AF339830,MKI67
AF339830,ANXA3
AF339830,VWA5B2
AF339830,NIPA2
AF339830,GUCA1A
AF339830,ACSL5
AF339830,FICD
AF339830,TULP3
AF339830,ERLIN2
AF339830,SOCS2
AF339830,BRMS1
AF339830,XPC
AF339830,PRMT6
AF339830,CREB5
AF339830,CGRRF1
AF339830,LCK
AF339830,CETN2
AF339830,NUFIP1
AF339830,ZHX2
AF339830,ENDOD1
AF339830,ZFHX3
AF339830,MRPL11
AF339830,LGR5
AF339830,LETMD1
AF339830,ALDH18A1
AF339830,AP2B1
AF339830,PABPC4
AF339830,F2RL1
AF339830,AHNAK
AF339830,LDHA
AF339830,CAP1
AF339830,ZNF652
AF339830,DUSP16
AF339830,OSBP
AF339830,DDN
AF339830,ARL4C
